105,10 43.0,-64 24,, 2.8,STAR B0.5 Vp,Theta Car, 8 ST,,
106,10 46.8,-49 26,20 , 2.7,STAR GS III + F8: V,Mu Vel AB, 9 ST,,B=6.4
107,10 49.7,-16 11,, 3.1,STAR K2 III,Ny Hya, 8 ST,,
108,11 01.9,+56 23,, 2.4,STAR A0mA1 IV-V,Beta UMa, 8 ST,Merak,
109,11 03.8,+61 45,3 , 1.8,STAR K0 Illa + A8 V,Alpha UMa AB, 9 ST,Dubhe ,B=4.8
110,11 09.7,+44 30,, 3.0,STAR K1 III,Psi UMa, 8 ST,,
111,11 14.2,+20 32,, 2.6,STAR A4 V,Delta Leo, 8 ST,Zosma,
112,11 14.2,+15 26,, 3.3,STAR A2 Vs,Theta Leo, 8 ST,Chen,
113,11 35.8,-63 02,, 3.1,STAR B9 III,Lambda Gen, 8 ST,,
114,11 49.1,+14 34,, 2.1,STAR A3 V,Beta Leo, 8 ST,Denebola,
115,11 53.8,+53 41,, 2.4,STAR A0 IV-Vn,Gamma UMa, 8 ST,Phad,
116,12 08.4,-50 44,, 2.5,STAR B2 IVne,Delta Can, 8 ST,,
117,12 10.1,-22 37,, 3.0,STAR K3 Illa,Epsilon ON, 8 ST,Minkar,
118,12 15.1,-58 45,, 2.8,STAR B2 IV,Delta Cru, 8 ST,,
119,12 15.5,+57 01,, 3.3,STAR A2 IV-Vn,Delta UMa, 8 ST,Megrez,
120,12 15.8,-17 33,, 2.6,STAR B8p III: (Hg+Mn),Gamma ON, 8 ST,Gienah Ghurab,
121,12 26.6,-63 06,50 , 1.3,STAR B0.5 IV + B1 Vn,Alpha Cru A, 9 ST,Acrux A ,B=1.7
122,12 26.7,-63 07,50 , 1.7,STAR B1 Vn + B0.5 IV,Alpha Cru B, 9 ST,Acrux B ,A=1.3
123,12 29.9,-16 31,240 , 3.0,STAR B9.5 III + K2 V,Della CrvA, 9 ST,Algorab ,B=8.3
124,12 31.2,-57 07,, 1.6,STAR M3.5 IIl,Gamma Cru, 8 ST,Gacrux,
125,12 34.4,-23 24,, 2.7,STAR 65 II,Beta ON, 8 ST,Kraz,
126,12 37.2,-69 09,, 2.7,STAR B2 IV-V,Alpha Mus, 8 ST,,
127,12 41.6,-48 58,50 , 2.9,STAR B9.5 III + A0 III,Gamma Cen A, 9 ST,,B=3.0
128,12 41.5,-48 58,50 , 3.0,STAR A0 III + B9.5 III,Gamma Cen B, 9 ST,,A=2.9
129,12 41.7,-01 28,40 , 2.8,STAR F1 V + F1 V,Gamma Vir AB, 9 ST,Porrima ,B=3.5
130,12 46.2,-68 07,10 , 3.1,STAR B2 V + B2.5 V,Beta Mus AB, 9 ST,,B=4.1
131,12 47.7,-59 42,, 1.2,STAR B0.5 III,Beta Cru, 8 ST,Becrux Mimosa,
132,12 54.0,+55 58,, 1.8,STAR A0p IV: (Cr+Eu),Epsilon UMa, 8 ST,Alioth,
133,12 56.1,+38 19,, 2.9,STAR A0p III: (Si+Eu+Sr),Alpha/\2 CVn A, 8 ST,Cor Caroli ,B=5.6 F0 V
134,13 02.2,+10 58,, 2.8,STAR 69 Illab,Epsilon Vir, 8 ST,Vindamiatrix,
135,13 19.0,-23 11,, 3.0,STAR 68 Illa,Gamma Hya, 8 ST,,
136,13 20.6,-36 43,, 2.8,STAR A2 V,Iota Gen, 8 ST,,
137,13 24.0,+54 55,140 , 2.3,STAR A1p IV: (Si) + A1mA7,Zeta UMaA, 9 ST,Mizar, 3:39
138,13 25.2,-11 10,, 1.0,STAR B1 V,Alpha Vir, 8 ST,Spica,
139,13 39.9,-53 28,, 2.3,STAR B1 III,Epsilon Gen, 8 ST,,
140,13 47.6,+49 19,, 1.9,STAR Ba V,Eta UMa, 8 ST,Alcaid,
141,13 49.6,-42 28,, 3.0,STAR B2 IV-Vpne,Mu Gen, 8 ST,,
142,13 54.7,+18 24,, 2.7,STAR 60 IV,Eta Boo, 8 ST,Mufrid,
143,13 55.6,-47 17,, 2.6,STAR 32.5 W,Zeta Gen, 8 ST,,
144,14 03.9,-60 24,, 0.6,STAR B1 III,Beta Cen AB, 8 ST,Hadar,
145,14 06.4,-26 41,, 3.3,STAR K2 Illb,Pi Hya, 8 ST,,
146,14 06.7,-36 22,, 2.1,STAR K0 Illb,Theta Gen, 8 ST,Menkent,
147,14 15.7,+19 11,, 0.0,STAR K1.5 III Fe-0.5,Alpha B00, 8 ST,Arcturus,
148,14 32.1,+38 19,, 3.0,STAR A7 III-IV,Gamma B00, 8 ST,Seginus,
149,14 35.5,-42 10,, 2.4,STAR B1.5 IVpne,Eta Gen, 8 ST,,
150,14 39.8,-60 51,210 , 0.0,STAR 62 V + K4 V,Alpha Cen A, 9 ST,Rigel Kentaurus ,B=1.3
151,14 39.8,-60 51,210 , 1.3,STAR K4 V + 62 V,Alpha Cen B, 9 ST,,A=0.0
152,14 41.9,-47 24,, 2.3,STAR B1.5 III,Alpha Lup, 8 ST,,
153,14 42.5,-64 59,160 , 3.2,STAR A7p (Sr) + K5 v,Alpha Cir, 9 ST,,B=8.6
154,14 46.6,+27 04,30 , 2.4,STAR K0 II-III + A0 V,Epsilon B00, 9 ST,Izar ,B=5.1
155,14 51.1,-51 03,, 2.8,STAR A3 IV,Alpha Lib A, 8 ST,Zuben Elgenubi,
156,14 50.6,+74 10,, 2.1,STAR K4 III,Beta UMi, 8 ST,Kocab,
157,14 58.5,-43 08,, 2.7,STAR B2 IV,Beta Lup, 8 ST,,
158,14 59.2,-42 06,, 3.1,STAR B2 V,Kappa Gen, 8 ST,,
159,15 04.1,-25 18,, 3.3,STAR M4 III,Sigma Lib, 8 ST,Brachium,
160,15 17.1,-09 23,, 2.6,STAR B8 Vn,Beta Lib, 8 ST,Zuben Elschemali,
161,15 18.9,-68 41,, 2.9,STAR A1 Illn,Gamma TrA, 8 ST,,
162,15 21.4,-40 39,, 3.2,STAR B1.5 IVn,Delta Lup, 8 ST,,
163,15 20.7,+71 50,, 3.1,STAR A2.5 IIl,Gamma UMi, 8 ST,Phelkad,
164,15 24.9,+58 58,, 3.3,STAR K2 III,Iota Dra, 8 ST,Ed Asich,
165,15 35.5,+26 43,, 2.2,STAR A0 IV,Gamma CrB, 8 ST,Alphekka,
166,15 35.1,-41 10,5 , 2.8,STAR B2 IVn + B2 IVn,Alpha Lup AB, 9 ST,,A=3.5 B=3.6
167,15 54.3,+06 25,, 2.7,STAR K2 Illb (0N1),Alpha Ser, 8 ST,Unukalhai,
168,15 55.1,-63 26,, 2.9,STAR F0 IV,Beta Tra, 8 ST,,
169,15 58.9,-26 08,, 2.9,STAR B1 V + B2 V,Pi Sco A, 8 ST,,
170,15 59.5,+25 54,, 2.0,STAR 9M3: + Bep,T CrB, 8 ST,Gall,
171,16 00.3,-22 38,, 2.3,STAR 30.3 W,Delta 600 AB, 8 ST,Dschubba,
172,16 05.5,-19 48,10 , 2.6,STAR BO.5 IV,Beta Sco AB, 9 ST,Graffias ,B=5.0 C=4.9 @ 14II
173,16 14.3,-03 43,, 2.7,STAR M0.5 IIl,Delta Oph, 8 ST,Yed Prior,
174,16 18.3,-04 36,, 3.2,STAR 69.5 Illb Fe-0.5,Epsilon Oph, 8 ST,Yed Posterior,
175,16 21.2,-25 36,200 , 2.9,STAR B1 III + B9 V,Sigma ScoA, 9 ST,Alniyat ,B=8.3
176,16 24.0,+61 31,60 , 2.7,STAR 68 Illab,Eta Dra A, 9 ST,,B=8.7
177,16 29.5,-26 26,30 , 0.9,STAR M1.5 lab + 52.5 V,Alpha See A, 9 ST,Antares ,B=5.4
178,16 30.2,+21 29,, 2.8,STAR 67 Illa,Beta Her, 8 ST,Kornephoros,
179,16 35.9,-28 13,, 2.8,STAR B0 V,Tau Sco, 8 ST,,
180,16 37.2,-10 34,, 2.6,STAR 09.5 Vn,Zeta Oph, 8 ST,Fieht,
181,16 41.3,+31 36,11 , 2.8,STAR 61 N + 67 V,Zeta Her AB, 9 ST,,5:55
182,16 48.7,-69 02,, 1.9,STAR K2 llb - Illa,Alpha TrA, 8 ST,Artia,
183,16 50.2,-34 17,, 2.3,STAR K2 III,Epsilon Sco, 8 ST,,
184,16 51.9,-38 03,, 3.0,STAR B1.5 IVn,Mu^1 Sco, 8 ST,,
185,16 57.7,+09 22,, 3.2,STAR K2 III,Kappa Oph, 8 ST,,
186,16 58.7,-56 00,, 3.1,STAR K4 III,Zeta Ara, 8 ST,,
187,17 08.7,+65 43,, 3.2,STAR B6 III,Zeta Dra, 8 ST,Aldhibah,
188,17 10.4,-15 44,10 , 2.4,STAR A2 Vs + A3 V,Eta Oph AB, 9 ST,Sabik ,A=3.0 B=3.5
189,17 12.2,-43 14,, 3.3,STAR F2p v: (Cr),Eta Sco, 8 ST,,
190,17 14.7,+14 23,, 3.1,STAR M5 lb-ll,Alpha HerAB, 8 ST,Ras Algethi,
191,17 15.1,+24 50,90 , 3.1,STAR A1 IVn + ?,Delta Her, 9 ST,Sarin B=8.8,
192,17 15.1,+36 48,, 3.2,STAR K3 llab,Pi Her, 8 ST,,
193,17 22.1,-25 00,, 3.3,STAR B2 IV,Alpha Oph, 8 ST,,
194,17 25.4,-55 32,, 2.9,STAR K3 lb-lla,Beta Ara, 8 ST,,
195,17 25.5,-56 23,, 3.3,STAR B1 lb,Gamma Ara A, 8 ST,,
196,17 30.8,-37 17,, 2.7,STAR B2 IV,Upsilon Soc, 8 ST,,
197,17 30.4,+52 19,40 , 2.8,STAR 62 lb-lla + ?,Beta DraA, 9 ST,Resiaban ,B=11.5
198,17 31.9,-49 52,, 3.0,STAR B2 Vne,Alpha Ara, 8 ST,,
199,17 33.7,-37 07,, 1.6,STAR B1.5 IV,Lambda Soc, 8 ST,Shaula,
200,17 25.0,+12 33,, 2.1,STAR A5 Illn,Alpha Oph, 8 ST,Rasalhague,
201,17 37.3,-43 00,, 1.9,STAR F1 II,Theta Sec, 8 ST,Sargas,
202,17 42.6,-39 02,, 2.4,STAR B1.5 III,Kappa Sec, 8 ST,,
203,17 43.5,+04 34,, 2.8,STAR K2 III,Beta Oph, 8 ST,Cebalrai,
204,17 47.6,-40 07,, 3.0,STAR F2 la,IotaA1 S00, 8 ST,,
205,17 49.9,-37 02,, 3.2,STAR K2 III,6 Sec, 8 ST,HR6630,
206,17 56.6,+51 29,, 2.2,STAR K5 III,Gamma Dra, 8 ST,Etamin,
207,17 59.1,-09 46,, 3.3,STAR K0 III,Nu Oph, 8 ST,,
208,18 05.8,-30 26,, 3.0,STAR K0 III,GammaA2 Sgr, 8 ST,Nash,
209,18 17.7,-36 46,40 , 3.1,STAR M3.5 Illab + 68: IV:,Eta Sgr A, 9 ST,,B=8.3
210,18 21.0,-29 50,, 2.7,STAR K2.5 Illa,Delta Sgr, 8 ST,,
211,18 21.3,-02 54,, 3.3,STAR K0 III-IV,Eta Ser, 8 ST,,
212,18 24.2,-34 23,, 1.9,STAR A0 Illnp (shell),Epsilon Sgr, 8 ST,Kaus Australis,
213,18 28.0,-25 25,, 2.8,STAR K1 Illb,Lambda Sgr, 8 ST,Kaus Borealis,
214,18 37.0,+38 47,, 0.0,STAR A0 Va,Alpha Lyr, 8 ST,Vega,
215,18 45.7,-26 59,, 3.2,STAR 58.5 III,Phi Sgr, 8 ST,,
216,18 55.3,-26 18,, 2.0,STAR 32.5 V,Sigma Sgr, 8 ST,Nunki,
217,18 58.9,+32 41,, 3.2,STAR B9 III,Gamma Lyr, 8 ST,Sulaphat,
218,19 02.7,-29 53,5 , 2.6,STAR A2.5 V + A4: V:,Zeta Sgr AB, 9 ST,Asoella ,A=3.2 B=3.5
219,19 05.5,+13 53,, 3.0,STAR A0 IVnn,Zeta Aql A, 8 ST,,
